full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Frank Mason,71,#15,Milwaukee Bucks,G,04/13/94,1.8,86.2,79568.0,USA,2017,2,34,Kansas
Ben McLemore,71,#16,Houston Rockets,G,02/11/93,1.91,85.7,2028594.0,USA,2013,1,7,Kansas
Dzanan Musa,71,#13,Brooklyn Nets,F,05/08/99,2.06,88.5,1911600.0,Bosnia and Herzegovina,2018,1,29,
Elie Okobo,71,#2,Phoenix Suns,G,10/23/97,1.91,86.2,1416852.0,France,2018,2,31,
Jerome Robinson,71,#1,Washington Wizards,G,02/22/97,1.93,86.2,3567720.0,USA,2018,1,13,Boston College
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/95,1.93,84.4,2000000.0,USA,2017,2,52,Xavier
Gary Trent Jr,71,#2,Portland Trail Blazers,G,01/18/99,1.96,94.8,1416852.0,USA,2018,2,37,Duke
Moritz Wagner,71,#21,Washington Wizards,F,04/26/97,2.11,108.9,2063520.0,Germany,2018,1,25,Michigan
Admiral Schofield,71,#1,Washington Wizards,F,03/30/97,1.96,109.3,1000000.0,USA,2019,2,42,Tennessee
Bruno Fernando,71,#24,Atlanta Hawks,F,08/15/98,2.06,111.1,1400000.0,Angola,2019,2,34,Maryland
Alen Smailagic,71,#6,Golden State Warriors,F,08/18/00,2.08,97.5,898310.0,Serbia,2019,2,39,
Eric Paschall,71,#7,Golden State Warriors,F,11/04/96,1.98,115.7,898310.0,USA,2019,2,41,Villanova
Carsen Edwards,71,#4,Boston Celtics,G,03/12/98,1.8,90.7,1228026.0,USA,2019,2,33,Purdue
KZ Okpala,71,#4,Miami Heat,F,04/28/99,2.03,97.5,898310.0,USA,2019,2,32,Stanford
Chimezie Metu,71,#7,San Antonio Spurs,F,03/22/97,2.06,102.1,1416852.0,Nigeria,2018,2,49,USC
Keita Bates-Diop,70,#0,Denver Nuggets,F,01/23/96,2.03,106.6,1416852.0,USA,2018,2,48,Ohio State
Darius Bazley,70,#7,Oklahoma City Thunder,F,06/12/00,2.03,90.7,2284800.0,USA,2019,1,23,
Hamidou Diallo,70,#6,Oklahoma City Thunder,G,07/31/98,1.96,89.8,1416852.0,USA,2018,2,45,Kentucky
Melvin Frazier,70,#35,Orlando Magic,F,08/30/96,1.96,91.2,1416852.0,USA,2018,2,35,Tulane
Solomon Hill,70,#44,Miami Heat,F,03/18/91,1.98,102.5,13290395.0,USA,2013,1,23,Arizona
Alize Johnson,70,#24,Indiana Pacers,F,04/26/96,2.01,91.2,1416852.0,USA,2018,2,50,Missouri State
Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,06/10/97,2.01,93.0,1416852.0,Ukraine,2018,2,47,Kansas
Abdel Nader,70,#11,Oklahoma City Thunder,F,09/25/93,1.96,102.1,1618520.0,Egypt,2016,2,58,Iowa State
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,04/03/99,2.06,97.1,1416852.0,USA,2018,2,41,Kentucky
Jordan Poole,70,#3,Golden State Warriors,G,06/19/99,1.93,88.0,1964760.0,USA,2019,1,28,Michigan
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/00,1.93,106.1,898310.0,USA,2019,2,46,Iowa State
Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,07/18/92,1.98,97.5,1445697.0,Greece,2014,2,51,
Ignas Brazdeikis,70,#17,New York Knicks,F,01/08/99,1.98,98.0,898310.0,Canada,2019,2,47,Michigan
Justin James,70,#10,Sacramento Kings,G,01/24/97,2.01,86.2,898310.0,USA,2019,2,40,Wyoming
Devonte Graham,69,#0,Charlotte Hornets,G,02/22/95,1.85,83.9,1416852.0,USA,2018,2,34,Kansas
Khyri Thomas,69,#13,Detroit Pistons,G,05/08/96,1.91,95.3,1416852.0,USA,2018,2,38,Creighton
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/96,1.96,97.5,1000000.0,USA,2019,2,48,Florida State
Miye Oni,69,#24,Utah Jazz,F,08/04/97,1.96,95.3,898310.0,USA,2019,2,58,Yale
Isaac Bonga,68,#17,Washington Wizards,G,11/08/99,2.03,90.7,1416852.0,Germany,2018,2,39,
Jordan McRae,68,#0,Detroit Pistons,G,03/28/91,1.96,81.2,1254933.0,USA,2014,2,58,Tennessee
Michael Frazier,68,#21,Houston Rockets,G,03/08/94,1.91,90.7,79568.0,USA,2015,2,60,Florida
